Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
152,"Y Yao, D Ye, P Li, X Han, Y Lin, Z Liu, Z Liu, ...","DocRED: A large-scale document-level relation extraction dataset",2019,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1906.06127","https://scholar.google.com/scholar?cites=16179474488090622861&as_sdt=2005&sciodt=2007&hl=en",1,"2022-03-25 12:38:46","","","","",,,,,152,50.67,19,8,3,"… sense to complete the relation identification. In summary, DocRED requires rich reasoning … We also design a neural supporting evidence predictor. Given an entity pair and a predicted …","https://arxiv.org/pdf/1906.06127","https://scholar.google.com/scholar?q=related:jfsiC1MKieAJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
89,"G Nan, Z Guo, I Sekulić, W Lu","Reasoning with latent structure refinement for document-level relation extraction",2020,"arXiv preprint arXiv:2005.06312","arxiv.org","https://arxiv.org/abs/2005.06312","https://scholar.google.com/scholar?cites=5762480847740127869&as_sdt=2005&sciodt=2007&hl=en",9,"2022-03-25 12:38:46","","","","",,,,,89,44.50,22,4,2,"… on DocRED, a large-scale document-level relation extraction … two popular document-level relation extraction datasets in the … These models leverage different neural architectures to …","https://arxiv.org/pdf/2005.06312","https://scholar.google.com/scholar?q=related:fcqK0sxx-E8J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
54,"D Ye, Y Lin, J Du, Z Liu, P Li, M Sun, Z Liu","Coreferential reasoning learning for language representation",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2004.06870","https://scholar.google.com/scholar?cites=13269844481848117909&as_sdt=2005&sciodt=2007&hl=en",71,"2022-03-25 12:38:46","","","","",,,,,54,27.00,8,7,2,"… Table 3: Results on DocRED measured by micro ignore F1 (… following baselines for document-level relation extraction: (1) … We use the official data split for DocRED, where train / …","https://arxiv.org/pdf/2004.06870","https://scholar.google.com/scholar?q=related:lQo85T_1J7gJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
27,"G Weikum, XL Dong, S Razniewski, ...","Machine knowledge: Creation and curation of comprehensive knowledge bases",2021,"… and Trends® in …","nowpublishers.com","https://www.nowpublishers.com/article/Details/DBS-064","https://scholar.google.com/scholar?cites=9594284646008986861&as_sdt=2005&sciodt=2007&hl=en",125,"2022-03-25 12:38:46","","","","",,,,,27,27.00,7,4,1,"Equipping machines with comprehensive knowledge of the world’s entities and their relationships has been a longstanding goal of AI. Over the last decade, large-scale knowledge …","https://www.nowpublishers.com/article/DownloadSummary/DBS-064","https://scholar.google.com/scholar?q=related:7ZxZhw2_JYUJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
24,"W Zhou, K Huang, T Ma, J Huang","Document-level relation extraction with adaptive thresholding and localized context pooling",2021,"Proceedings of the AAAI Conference on …","aaai.org","https://www.aaai.org/AAAI21Papers/AAAI-8308.ZhouW.pdf","https://scholar.google.com/scholar?cites=10974529163631239393&as_sdt=2005&sciodt=2007&hl=en",11,"2022-03-25 12:38:46","PDF","","","",,,,,24,24.00,6,4,1,"… to locate relevant context that is useful to decide the relation. We experiment on three document-level RE benchmark datasets: DocRED, a recently released large-scale RE dataset, and …","https://www.aaai.org/AAAI21Papers/AAAI-8308.ZhouW.pdf","https://scholar.google.com/scholar?q=related:4aBn9yBcTZgJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
67,"X Han, T Gao, Y Yao, D Ye, Z Liu, M Sun","OpenNRE: An open and extensible toolkit for neural relation extraction",2019,"arXiv preprint arXiv:1909.13078","arxiv.org","https://arxiv.org/abs/1909.13078","https://scholar.google.com/scholar?cites=11739208428032275562&as_sdt=2005&sciodt=2007&hl=en",23,"2022-03-25 12:38:46","","","","",,,,,67,22.33,11,6,3,"… toolkit that provides a unified framework to implement neural models for relation extraction (RE). … For model extensibility, we systematically implement various neural modules and some …","https://arxiv.org/pdf/1909.13078","https://scholar.google.com/scholar?q=related:arQiSd4L6qIJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
42,"D Yu, K Sun, C Cardie, D Yu","Dialogue-based relation extraction",2020,"arXiv preprint arXiv:2004.08056","arxiv.org","https://arxiv.org/abs/2004.08056","https://scholar.google.com/scholar?cites=6839381862596072995&as_sdt=2005&sciodt=2007&hl=en",46,"2022-03-25 12:38:46","","","","",,,,,42,21.00,11,4,2,"… 2017) and 59.8% in a recently released cross-sentence relation extraction dataset DocRED, … Note that the provenance/evidence sentences in SF and DocRED are provided by …","https://arxiv.org/pdf/2004.08056","https://scholar.google.com/scholar?q=related:I9ZJQ5Fd6l4J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
42,"S Jain, M Van Zuylen, H Hajishirzi, I Beltagy","SciREX: A challenge dataset for document-level information extraction",2020,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2005.00512","https://scholar.google.com/scholar?cites=16115211616381482413&as_sdt=2005&sciodt=2007&hl=en",107,"2022-03-25 12:38:46","","","","",,,,,42,21.00,11,4,2,"… a neural … Relation Extraction Given all the clusters of mentions identified in a document from the previous step, our task now is to determine which of these belong together in a relation…","https://arxiv.org/pdf/2005.00512","https://scholar.google.com/scholar?q=related:rbWqQpW7pN8J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
40,"J Wang, W Lu","Two are better than one: Joint entity and relation extraction with table-sequence encoders",2020,"arXiv preprint arXiv:2010.03851","arxiv.org","https://arxiv.org/abs/2010.03851","https://scholar.google.com/scholar?cites=9140957209498685664&as_sdt=2005&sciodt=2007&hl=en",72,"2022-03-25 12:38:46","","","","",,,,,40,20.00,20,2,2,"… They interact with each other, and can capture taskspecific information for the NER and RE tasks; • We propose to use multidimensional recurrent neural networks to better exploit the …","https://arxiv.org/pdf/2010.03851","https://scholar.google.com/scholar?q=related:4BA3syY0234J:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
39,"T Ferreira, C Gardent, N Ilinykh, ...","The 2020 bilingual, bi-directional webnlg+ shared task overview and evaluation results (webnlg+ 2020)",2020,"Proceedings of the …","hal.archives-ouvertes.fr","https://hal.archives-ouvertes.fr/hal-03148418/","https://scholar.google.com/scholar?cites=11700578990801219134&as_sdt=2005&sciodt=2007&hl=en",148,"2022-03-25 12:38:46","","","","",,,,,39,19.50,10,4,2,"… using DocRED, a noisy parallel corpus of sentences and their automatically extracted relation (… Lexicalisation of RDF properties are also curated from the WebNLG+ and the DocRED …","https://hal.archives-ouvertes.fr/hal-03148418/document","https://scholar.google.com/scholar?q=related:Pu4ajZnOYKIJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22docred%22&hl=en&as_sdt=2007"
