Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Z Geng, J Li, Y Han, Y Zhang","Novel Target Attention Convolutional Neural Network for Relation Classification",2022,"Information Sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S0020025522002237","",34,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,4,1,"… , the efficiency of the proposed TACNN is further validated by comparing the experimental results of the TACNN method with most of the existing RC methods on SemEval-2010 Task 8 …","",""
2,"N Taghizadeh, H Faili","Cross-lingual transfer learning for relation extraction using Universal Dependencies",2022,"Computer Speech & Language","Elsevier","https://www.sciencedirect.com/science/article/pii/S0885230821000711","https://scholar.google.com/scholar?cites=4646404665901754946&as_sdt=2005&sciodt=2007&hl=en",103,"2022-03-25 10:39:45","","","","",,,,,2,2.00,1,2,1,"… Experiments are performed using SemEval 2010-task 8 training data, whereas French and Farsi … Semantic relation classification via convolutional neural networks with simple negative …","","https://scholar.google.com/scholar?q=related:QqrKCW1Ye0AJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"S Xu, S Sun, Z Zhang, F Xu","Research on multi-feature fusion entity relation extraction based on deep learning",2022,"International Journal of Ad …","inderscienceonline.com","https://www.inderscienceonline.com/doi/abs/10.1504/IJAHUC.2022.120949","",105,"2022-03-25 10:39:45","","10.1504/IJAHUC.2022.120949","","",,,,,0,0.00,0,4,1,"… on the SemEval-2010 Task 8 dataset shows that the model constructed in this paper can achieve better relationship extraction performance than existing mainstream neural network …","",""
0,"X Wang, N Yin, X Zhang, X Bai, Z Luo","Simultaneously Learning Syntactic Dependency and Semantics Reasonability for Relation Extraction",2022,"The International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-981-16-6963-7_85","",209,"2022-03-25 10:39:45","","10.1007/978-981-16-6963-7_85","","",,,,,0,0.00,0,5,1,"… The SemEval-2010 Task 8 dataset is an acknowledged benchmark for relation extraction (1/… In this paper, we propose a novel neural model for relation extraction that is based on graph …","",""
0,"Y Zhang, Y Chen, S Yu, X Gu, M Song, Y Peng, ...","Bi-GRU Relation Extraction Model Based on Keywords Attention",2022,"Data …","direct.mit.edu","https://direct.mit.edu/dint/article-abstract/doi/10.1162/dint_a_00147/109785","",210,"2022-03-25 10:39:45","","10.1162/dint_a_00147/109785","","",,,,,0,0.00,0,7,1,"… rates such keywords information into the neural relation extractor. Compared with other … , we used the SemEval-2010 Task 8 dataset for our experiment, SemEval-2010 Task 8 dataset is …","https://direct.mit.edu/dint/article-pdf/doi/10.1162/dint_a_00147/1996415/dint_a_00147.pdf",""
0,"J Ni, G Rossiello, A Gliozzo, R Florian","A Generative Model for Relation Extraction and Classification",2022,"arXiv preprint arXiv:2202.13229","arxiv.org","https://arxiv.org/abs/2202.13229","",220,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,4,1,"… approaches on the SemEval 2010 Task 8 test set. As in prior works we use the SemEval 2010 Task 8 official scoring metric which is macroaveraged F1 score for the 9 relation types (ex- …","https://arxiv.org/pdf/2202.13229",""
0,"S Lyu, X Wu, J Li, Q Chen, ...","Do Models Learn the Directionality of Relations? A New Evaluation: Relation Direction Recognition",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9671053/","",256,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,5,1,"… -art performance1 is achieved on SemEval-2010 Task 8 [12]. … neural networks are exploited in relation classification. In the last decade, an active area of research was studied in relation …","https://ieeexplore.ieee.org/iel7/7433297/7777658/09671053.pdf","https://scholar.google.com/scholar?q=related:6mHyvVX0-GEJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"J Qi, R Zhang, C Li, Y Mao","Cross Domain Few-Shot Learning via Meta Adversarial Training",2022,"arXiv preprint arXiv:2202.05713","arxiv.org","https://arxiv.org/abs/2202.05713","",259,"2022-03-25 10:39:45","","","","",,,,,0,0.00,0,4,1,"Few-shot relation classification (RC) is one of the critical problems in machine learning. Current research merely focuses on the set-ups that both training and testing are from the same …","https://arxiv.org/pdf/2202.05713",""
10,"J Yang, SC Han, J Poon","A survey on extraction of causal relations from natural language text",2022,"Knowledge and Information Systems","Springer","https://link.springer.com/article/10.1007/s10115-022-01665-w","https://scholar.google.com/scholar?cites=268616559402883951&as_sdt=2005&sciodt=2007&hl=en",287,"2022-03-25 10:39:45","HTML","10.1007/s10115-022-01665-w","","",,,,,10,10.00,3,3,1,"… models include convolutional neural networks (CNNs), recurrent neural networks (RNNs), … models in order to extract causality from the SemEval-2010 Task 8 dataset. Xu et al. [91] use …","https://link.springer.com/article/10.1007/s10115-022-01665-w","https://scholar.google.com/scholar?q=related:bxv_a1ZRugMJ:scholar.google.com/&scioq=%22relation%22+%22neural%22+%22semeval+2010+task+8%22&hl=en&as_sdt=2007"
0,"H Khaldi, F Benamara, C Pradel, NA Gilles","A Closer Look to Your Business Network: Multitask Relation Extraction from Economic and Financial French Content",2022,"","aaai-kdf.github.io","https://aaai-kdf.github.io/kdf2022/assets/pdfs/KDF_22_paper_10.pdf","",304,"2022-03-25 10:39:45","PDF","","","",,,,,0,0.00,0,4,1,"… of relation extraction on SemEval 2010 Task 8 data. Our contribution consists of … relation instance noted i = (S, e1,e2), where S is the sentence, e1 and e2 are target entities, one relation …","https://aaai-kdf.github.io/kdf2022/assets/pdfs/KDF_22_paper_10.pdf",""
