Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"S. Lyu","Auxiliary Learning for Relation Extraction",2022,"IEEE Transactions on Emerging Topics in Computational Intelligence","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098770550&origin=inward",3,"2022-03-25 08:54:44","Article","10.1109/TETCI.2020.3040444","2471-285X","https://api.elsevier.com/content/abstract/scopus_id/85098770550",6,1,182,191,2,2.00,2,1,1,"","",""
0,"B. Lv","Commonsense Knowledge-Aware Prompt Tuning for Few-Shot NOTA Relation Classification",2022,"Applied Sciences (Switzerland)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85125149092&origin=inward",6,"2022-03-25 08:54:44","Article","10.3390/app12042185","2076-3417","https://api.elsevier.com/content/abstract/scopus_id/85125149092",12,4,,,0,0.00,0,1,1,"","",""
5,"Z. Li","Improve relation extraction with dual attention-guided graph convolutional networks",2021,"Neural Computing and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086584171&origin=inward",2,"2022-03-25 08:54:44","Article","10.1007/s00521-020-05087-z","0941-0643","https://api.elsevier.com/content/abstract/scopus_id/85086584171",33,6,1773,1784,5,5.00,5,1,1,"","",""
1,"O. Sabo","Revisiting few-shot relation classification: Evaluation data and classification schemes",2021,"Transactions of the Association for Computational Linguistics","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119600324&origin=inward",4,"2022-03-25 08:54:44","Article","10.1162/tacl_a_00392","2307-387X","https://api.elsevier.com/content/abstract/scopus_id/85119600324",9,,691,706,1,1.00,1,1,1,"","",""
0,"D. Hu","Novel and efficient algorithm for entity relation extraction with the corpus knowledge graph",2021,"Xi'an Dianzi Keji Daxue Xuebao/Journal of Xidian University","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85124545338&origin=inward",7,"2022-03-25 08:54:44","Article","10.19665/j.issn1001-2400.2021.06.010","1001-2400","https://api.elsevier.com/content/abstract/scopus_id/85124545338",48,6,75,83,0,0.00,0,1,1,"","",""
0,"J.W. Chen","H-FND: Hierarchical False-Negative Denoising for Distant Supervision Relation Extraction",2021,"Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85123922333&origin=inward",8,"2022-03-25 08:54:44","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/85123922333",,,2579,2593,0,0.00,0,1,1,"","",""
0,"H. Ayats","Extracting Relations in Texts with Concepts of Neighbours",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85111431238&origin=inward",9,"2022-03-25 08:54:44","Conference Paper","10.1007/978-3-030-77867-5_10","0302-9743","https://api.elsevier.com/content/abstract/scopus_id/85111431238",12733,,155,171,0,0.00,0,1,1,"","",""
116,"L.B. Soares","Matching the blanks: Distributional similarity for relation learning",2020,"ACL 2019 - 57th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85079536261&origin=inward",1,"2022-03-25 08:54:44","Conference Paper","","","https://api.elsevier.com/content/abstract/scopus_id/85079536261",,,2895,2905,116,58.00,116,1,2,"","",""
1,"Z. Li","Adaptive Graph Convolutional Networks with Attention Mechanism for Relation Extraction",2020,"Proceedings of the International Joint Conference on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093853102&origin=inward",5,"2022-03-25 08:54:44","Conference Paper","10.1109/IJCNN48605.2020.9207706","","https://api.elsevier.com/content/abstract/scopus_id/85093853102",,,,,1,0.50,1,1,2,"","",""
0,"D. Fernàndez-Cañellas","Enhancing Online Knowledge Graph Population with Semantic Knowledge",2020,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096586450&origin=inward",10,"2022-03-25 08:54:44","Conference Paper","10.1007/978-3-030-62419-4_11","0302-9743","https://api.elsevier.com/content/abstract/scopus_id/85096586450",12506,,183,200,0,0.00,0,1,2,"","",""
0,"A. Pradhan","Knowledge Graph Generation with Deep Active Learning",2020,"Proceedings of the International Joint Conference on Neural Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85093859746&origin=inward",11,"2022-03-25 08:54:44","Conference Paper","10.1109/IJCNN48605.2020.9207515","","https://api.elsevier.com/content/abstract/scopus_id/85093859746",,,,,0,0.00,0,1,2,"","",""
0,"K Zhao, H Xu, J Yang, K Gao","Consistent Representation Learning for Continual Relation Extraction",2022,"arXiv preprint arXiv:2203.02721","arxiv.org","https://arxiv.org/abs/2203.02721","",20,"2022-03-25 08:51:33","","","","",,,,,0,0.00,0,4,1,"… In order to explore the long-term effects of consistency representation learning in continual relation extraction, we tested our model and RP-CRE on TACRED to observe the changes in …","https://arxiv.org/pdf/2203.02721",""
0,"M Zhang, T Qian, B Liu","Exploit Feature and Relation Hierarchy for Relation Extraction",2022,"IEEE/ACM Transactions on Audio …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9722988/","",58,"2022-03-25 08:51:33","","","","",,,,,0,0.00,0,3,1,"… learning paradigm to exploit both the feature-level relation between lexical and syntactic features and the sample-level relation … like TACRED, our multi-scale feature and metric learning …","https://ieeexplore.ieee.org/iel7/6570655/6633080/09722988.pdf",""
10,"J Yang, SC Han, J Poon","A survey on extraction of causal relations from natural language text",2022,"Knowledge and Information Systems","Springer","https://link.springer.com/article/10.1007/s10115-022-01665-w","https://scholar.google.com/scholar?cites=268616559402883951&as_sdt=2005&sciodt=2007&hl=en",62,"2022-03-25 08:51:33","HTML","10.1007/s10115-022-01665-w","","",,,,,10,10.00,3,3,1,"… The main limitation of TACRED is the small number of examples that there are only 269 … learning simultaneously: The attention-based module conducts relation representation learning …","https://link.springer.com/article/10.1007/s10115-022-01665-w","https://scholar.google.com/scholar?q=related:bxv_a1ZRugMJ:scholar.google.com/&scioq=%22relation%22+%22learning%22+%22tacred%22&hl=en&as_sdt=2007"
0,"X Wang, N Yin, X Zhang, X Bai, Z Luo","Simultaneously Learning Syntactic Dependency and Semantics Reasonability for Relation Extraction",2022,"The International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-981-16-6963-7_85","",68,"2022-03-25 08:51:33","","10.1007/978-981-16-6963-7_85","","",,,,,0,0.00,0,5,1,"… We report the micro-averaged F1 scores for the TACRED dataset and the macro-averaged F1 scores for the SemEval-2010 task 8 dataset. We now report the results on the TACRED …","",""
